year,10 rupee notes,20 rupee notes,50 rupee bills,100 rupee bills,200 rupee bills,500 rupee bills,1000 rupee bills,2000 rupee bills
FY 2019,313.0,174.0,430.0,2007.0,800,10759.0,-,6582
FY 2018,307.0,200.0,367.0,2222.0,371,7734.0,66,6726
FY 2017,369.29,203.15,355.64,2528.01,-,2940.98,89.25,6570.63
FY 2016,320.15,98.47,194.5,1577.83,-,7853.75,6325.68,-
FY 2015,303.04,86.99,174.36,1502.65,-,6563.91,5612.45,-
FY 2014,266.48,85.69,172.42,1476.46,-,5702.48,5081.37,-
FY 2013,251.68,76.5,173.05,1442.1,-,5359.5,4299,-
FY 2012,230.02,70.2,174.38,1411.88,-,5128.07,3468.81,-
FY 2011,212.88,60.4,159.8,1402.43,-,4453.11,3027.13,-
FY 2010,185.36,46.81,210.57,1383.64,-,3644.79,2382.52,-
FY 2009,122.22,43.99,244.4,1370.28,-,3083.04,1917.84,-
FY 2008,93.33,41.08,265.08,1345.75,-,2631.08,1412.19,-
FY 2007,71.55,41.78,279.51,1354.44,-,2254.0,936.76,-
FY 2006,62.74,40.77,278.42,1346.37,-,1823.32,643.46,-
FY 2005,67.7,38.76,299.41,1232.82,-,1527.28,420.82,-
FY 2004,77.5,43.83,330.27,1214.42,-,1229.38,274.73,-
