Response,Very/fairly satisfied,Neither satisfied nor dissatisfied,Not very/not at all satisfied
Saudi Arabia,72%,14%,12%
Singapore,60%,22%,18%
Belgium,54%,26%,20%
United Kingdom,53%,24%,22%
China,52%,23%,24%
India,51%,24%,25%
Australia,49%,26%,23%
France,47%,25%,26%
Netherlands,46%,26%,27%
Canada,46%,26%,26%
Malaysia,44%,39%,16%
Spain,43%,25%,29%
Philippines,40%,28%,31%
Germany,39%,33%,26%
South Korea,38%,49%,11%
Japan,35%,35%,25%
Sweden,34%,30%,34%
Hong  Kong,34%,30%,36%
Turkey,32%,30%,38%
Italy,31%,31%,37%
United States,30%,25%,43%
Argentina,28%,29%,42%
South Africa,24%,19%,57%
Mexico,16%,31%,53%
Brazil,15%,14%,68%
Poland,13%,13%,74%
Russia,11%,17%,70%
Peru,11%,29%,59%
Romania,11%,26%,64%
Chile,8%,13%,78%
Hungary,8%,16%,76%
Colombia,7%,21%,71%
Total,34%,26%,39%
