Year,United States of America,Confederate States of America
2020**,50,-
2019,50,-
2018,50,-
2017,50,-
2016,50,-
2015,50,-
2014,50,-
2013,50,-
2012,50,-
2010,50,-
2009,50,-
2008,50,-
2007,50,-
2006,50,-
2005,50,-
2004,50,-
2003,50,-
2002,50,-
2001,50,-
2000,50,-
1999,50,-
1998,50,-
1997,50,-
1996,50,-
1995,50,-
1994,50,-
1993,50,-
1992,50,-
1991,50,-
1990,50,-
1989,50,-
1988,50,-
1987,50,-
1986,50,-
1985,50,-
1984,50,-
1983,50,-
1982,50,-
1981,50,-
1980,50,-
1979,50,-
1978,50,-
1977,50,-
1976,50,-
1975,50,-
1974,50,-
1973,50,-
1972,50,-
1971,50,-
1970,50,-
1969,50,-
1968,50,-
1967,50,-
1966,50,-
1965,50,-
1964,50,-
1963,50,-
1962,50,-
1961,50,-
1960,50,-
1959,50,-
1958,48,-
1957,48,-
1956,48,-
1955,48,-
1954,48,-
1953,48,-
1952,48,-
1951,48,-
1950,48,-
1949,48,-
1948,48,-
1947,48,-
1946,48,-
1945,48,-
1944,48,-
1943,48,-
1942,48,-
1941,48,-
1940,48,-
1939,48,-
1938,48,-
1937,48,-
1936,48,-
1935,48,-
1934,48,-
1933,48,-
1932,48,-
1931,48,-
1930,48,-
1929,48,-
1928,48,-
1927,48,-
1926,48,-
1925,48,-
1924,48,-
1923,48,-
1922,48,-
1921,48,-
1920,48,-
1919,48,-
1918,48,-
1917,48,-
1916,48,-
1915,48,-
1914,48,-
1913,48,-
1912,48,-
1911,46,-
1910,46,-
1909,46,-
1908,46,-
1907,46,-
1906,45,-
1905,45,-
1904,45,-
1903,45,-
1902,45,-
1901,45,-
1900,45,-
1899,45,-
1898,45,-
1897,45,-
1896,45,-
1895,44,-
1894,44,-
1893,44,-
1892,44,-
1891,44,-
1890,44,-
1889,42,-
1888,38,-
1887,38,-
1886,38,-
1885,38,-
1884,38,-
1883,38,-
1882,38,-
1881,38,-
1880,38,-
1879,38,-
1878,38,-
1877,38,-
1876,38,-
1875,37,-
1874,37,-
1873,37,-
1872,37,-
1871,37,-
1870,37,0
1869,33,0
1868,33,0
1867,27,0
1866,26,0
1865,25,0
1864,25,11
1863,24,11
1862,23,11
1861,23,11
1860,32,1
1859,33,-
1858,32,-
1857,31,-
1856,31,-
1855,31,-
1854,31,-
1853,31,-
1852,31,-
1851,31,-
1850,31,-
1849,30,-
1848,30,-
1847,29,-
1846,29,-
1845,28,-
1844,26,-
1843,26,-
1842,26,-
1841,26,-
1840,26,-
1839,26,-
1838,26,-
1837,26,-
1836,25,-
1835,24,-
1834,24,-
1833,24,-
1832,24,-
1831,24,-
1830,24,-
1829,24,-
1828,24,-
1827,24,-
1826,24,-
1825,24,-
1824,24,-
1823,24,-
1822,24,-
1821,24,-
1820,23,-
1819,22,-
1818,21,-
1817,20,-
1816,19,-
1815,18,-
1814,18,-
1813,18,-
1812,18,-
1811,17,-
1810,17,-
1809,17,-
1808,17,-
1807,17,-
1806,17,-
1805,17,-
1804,17,-
1803,17,-
1802,16,-
1801,16,-
1800,16,-
1799,16,-
1798,16,-
1797,16,-
1796,16,-
1795,15,-
1794,15,-
1793,15,-
1792,15,-
1791,14,-
1790,13,-
1789,12,-
1788,11,-
1787,3,-
1786,0,-
1785,0,-
1784,0,-
1783,0,-
1782,0,-
1781,0,-
1780,0,-
1779,0,-
1778,0,-
1777,0,-
1776,0,-
