Country,2017,2018,2019
European Union - 28 countries,87%,89%,90%
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",87%,89%,90%
Belgium,86%,87%,90%
Bulgaria,67%,72%,75%
Czechia,83%,86%,87%
Denmark,97%,93%,95%
Germany (until 1990 former territory of the FRG),93%,94%,95%
Estonia,88%,90%,90%
Ireland,88%,89%,91%
Greece,71%,76%,79%
France,86%,89%,90%
Croatia,76%,82%,81%
Italy,81%,84%,85%
Cyprus,79%,86%,90%
Latvia,79%,82%,85%
Lithuania,75%,78%,82%
Luxembourg,97%,93%,95%
Hungary,82%,83%,86%
Malta,85%,84%,86%
Netherlands,98%,98%,98%
Austria,89%,89%,90%
Poland,82%,84%,87%
Portugal,77%,79%,81%
Romania,76%,81%,84%
Slovenia,82%,87%,89%
Slovakia,81%,81%,82%
Finland,94%,94%,94%
Sweden,95%,93%,96%
United Kingdom,94%,95%,96%
Iceland,98%,99%,98%
Norway,97%,96%,98%
Montenegro,71%,72%,74%
North Macedonia,74%,79%,82%
Serbia,68%,73%,80%
Turkey,81%,84%,88%
