Month and year,Imports,Exports
May20,5069.63,3015.49
Apr20,4568.67,3264.3
Mar20,6685.39,4353.35
Feb20,6431.92,4674.54
Jan20,7551.67,4492.6
Dec19,6781.58,4574.61
Nov19,6574.01,4772.62
Oct19,6843.08,4901.5
Sep19,6555.01,4771.08
Aug19,6597.93,4783.63
Jul19,6952.42,4565.26
Jun19,6524.45,4634.12
May19,7154.0,4890.63
Apr19,6965.21,4582.52
Mar19,7234.49,4746.33
Feb19,6672.91,4358.57
Jan19,6886.99,4222.24
Dec18,6964.87,4466.52
Nov18,7175.8,4605.99
Oct18,7357.77,4731.71
Sep18,6528.97,4300.39
Aug18,7210.53,4489.61
Jul18,6732.34,4376.94
Jun18,6393.43,4589.7
May18,6923.69,4728.03
Apr18,6248.22,4415.5
Mar18,6883.86,5027.97
Feb18,6004.58,4384.51
Jan18,6188.82,4187.15
Dec17,6503.92,4924.5
Nov17,7011.4,4607.8
Oct17,6921.9,4882.59
Sep17,5806.69,3900.54
Aug17,6414.38,4680.63
Jul17,6059.53,4391.67
Jun17,6249.59,4410.39
May17,6256.06,4429.79
Apr17,5898.86,4221.42
Mar17,6339.03,4775.09
Feb17,5763.53,4153.82
Jan17,6157.14,4261.05
