Month,Confirmed cases,Fatal cases,Recovered
Nov 20,819262,12714,381800
Nov 19,796798,12088,361886
Nov 17,752940,10848,324282
Nov 16,733788,10491,306022
Nov 13,665547,9499,267580
Nov 12,641496,9080,254349
Nov 11,618813,8805,242875
Nov 9,568138,8045,219371
Nov 6,493765,7287,188675
Nov 5,466679,6842,177681
Nov 4,439536,6475,168960
Nov 3,414844,6102,159986
Oct 30,340834,5351,134724
Oct 29,319205,5149,129267
Oct 27,280229,4615,119237
Oct 23,228318,4172,105092
Oct 22,214686,4019,102204
Oct 21,202579,3851,98884
Oct 20,192539,3721,95956
Oct 16,157608,3440,87773
Oct 15,149903,3308,85588
Oct 14,141804,3217,83847
Oct 13,135278,3101,82004
Oct 12,130210,3039,81201
Oct 9,116338,2919,77875
Oct 8,111599,2867,76490
Oct 7,107319,2792,75346
Oct 6,104316,2717,74158
Oct 5,102080,2659,73552
Oct 2,95773,2570,71353
Oct 1,93481,2543,70401
Sep 30,91514,2513,69695
Sep 29,89962,2483,68955
Sep 11,73047,2169,58848
Sep 10,72453,2159,58069
Sep 9,71947,2147,57135
Sep 8,71526,2136,55910
Sep 7,71126,2124,55113
Sep 4,69820,2100,49820
Sep 2,68517,2078,47865
Sep 1,67922,2058,47030
Aug 31,67372,2039,46638
Aug 28,65480,2018,44785
Aug 27,64689,2010,44097
Aug 26,63802,1994,43399
Aug 25,63073,1977,42784
Aug 24,62310,1960,42448
Aug 14,55319,1858,38362
Aug 13,54487,1844,37961
Aug 12,53676,1830,37611
Aug 11,52961,1821,37150
Aug 10,52410,1809,36877
Aug 5,48789,1756,35321
Aug 4,48149,1738,35056
Aug 3,47469,1732,34881
Jul 31,45688,1716,33987
Jul 30,45031,1709,33643
Jul 29,44416,1694,33190
Jul 28,43904,1682,33043
Jul 27,43402,1676,32856
Jul 24,42038,1655,31997
Jul 22,41162,1642,31139
Jul 21,40782,1636,30771
Jul 20,40383,1627,30292
Jul 17,39407,1612,29505
Jul 16,39054,1605,28928
Jul 15,38721,1594,28492
Jul 14,38457,1588,27756
Jul 13,38190,1576,27515
Jul 10,37216,1562,26048
Jul 9,36951,1551,25477
Jul 8,36689,1542,24878
Jul 7,36412,1528,24238
Jul 6,36155,1521,23966
Jul 3,35405,1507,22651
Jul 2,35146,1492,22209
Jul 1,34775,1477,21791
Jun 30,34393,1463,21281
Jun 29,34154,1444,20897
Jun 28,33907,1438,20548
Jun 27,33714,1435,19972
Jun 26,33395,1429,19218
Jun 25,33119,1412,18654
Jun 24,32821,1396,18134
Jun 23,32527,1375,17573
Jun 22,32227,1359,17076
Jun 21,31931,1356,16683
Jun 20,31620,1346,16181
Jun 19,31316,1334,15698
Jun 18,31015,1316,15317
Jun 17,30701,1286,14921
Jun 16,30195,1272,14654
Jun 15,29788,1256,14383
Jun 14,29392,1247,14226
Jun 13,29017,1237,14104
Jun 12,28577,1222,13805
Jun 11,28201,1215,13696
Jun 10,27842,1206,13411
Jun 9,27560,1183,13196
Jun 8,27160,1166,12998
Jun 7,26561,1157,12855
Jun 6,25986,1153,12641
Jun 5,25419,1137,12410
Jun 4,25048,1117,12227
Jun 3,24687,1115,12014
Jun 2,24395,1092,11726
Jun 1,24165,1074,11449
May 31,23786,1064,11271
May 30,23571,1061,11016
May 29,23155,1051,10692
May 28,22825,1038,10560
May 27,22473,1028,10330
May 26,22074,1024,10020
May 25,21631,1007,9276
May 24,21326,996,9194
May 23,20931,993,8977
May 22,20619,982,8731
May 21,20143,972,8452
May 20,19739,962,8182
May 19,19268,948,7903
May 18,18885,936,7628
May 17,18529,925,7451
May 16,18257,915,7175
May 15,18016,907,6918
May 14,17615,883,6696
May 13,17204,861,6410
May 12,16921,839,6161
May 11,16326,811,5816
May 10,15996,800,5698
May 9,15651,785,5437
May 8,15366,776,5184
May 7,15047,755,4862
May 6,14740,733,4655
May 5,14431,716,4280
May 4,14006,698,4095
May 3,13693,678,3945
May 2,13375,664,3762
May 1,13105,651,3491
Apr 30,12877,644,3236
Apr 29,12640,624,3025
Apr 28,12218,596,2655
Apr 27,11902,562,2466
Apr 26,11617,535,2265
Apr 25,11273,524,2126
Apr 24,10892,494,1944
Apr 23,10511,454,1740
Apr 22,10169,426,1513
Apr 21,9856,401,1297
Apr 20,9593,380,1133
Apr 19,9287,360,1040
Apr 18,8742,347,981
Apr 17,8379,332,866
Apr 16,7918,314,774
Apr 15,7582,286,668
Apr 14,7202,263,618
Apr 13,6934,245,487
Apr 12,6674,232,439
Apr 11,6356,208,375
Apr 10,5955,181,318
Apr 9,5575,174,284
Apr 8,5205,159,222
Apr 7,4848,129,191
Apr 6,4413,107,162
Apr 5,4102,94,134
Apr 4,3627,79,116
Apr 3,3383,71,56
Apr 2,2946,57,0
Apr 1,2554,43,0
Mar 31,2311,33,0
Mar 30,2055,31,0
Mar 29,1862,22,0
Mar 28,1638,18,0
Mar 27,1389,16,0
Mar 26,1221,16,0
Mar 25,1051,14,0
Mar 24,901,10,0
Mar 23,749,8,0
Mar 22,634,7,0
Mar 21,536,5,0
Mar 20,425,5,0
Mar 19,355,5,0
Mar 18,287,5,0
Mar 17,238,5,0
Mar 16,177,4,0
Mar 15,125,3,0
Mar 14,104,3,0
Mar 13,68,2,0
Mar 12,51,1,0
Mar 11,31,0,0
Mar 10,22,0,0
Mar 9,17,0,0
Mar 8,11,0,0
Mar 7,6,0,0
Mar 6,5,0,0
Mar 4,1,0,0
