Field of study,Men,Women
"Business, management and public administration",190347,214998
"Architecture, engineering and related technologies",182469,48075
Humanities,110904,165216
Social and behavioural sciences and law,84351,190701
Physical and life sciences and technologies,74748,96720
Health and related fields,68106,197151
"Mathematics, computer and information sciences",63783,24126
Visual and performing arts and communications technologies,31563,48222
Other instructional programs,25584,32688
"Personal, protective and transportation services",23955,20388
Education,20733,68142
"Agriculture, natural resources and conservation",14769,17562
Personal improvement and leisure,9363,13272
