Country,1917,1918,1919,1920
Afghanistan,30.5,7.97,30.6,30.6
Albania,35.4,19.4,35.4,35.4
Algeria,30.3,23.7,30.4,29.6
Angola,30.2,11.7,30.4,30.4
Antigua and Barbuda,33.9,22.0,33.9,33.9
Argentina,47.5,41.5,49.1,49.9
Armenia,34.6,26.1,35.7,27.0
Australia,59.0,54.9,60.1,60.6
Austria,48.6,32.5,49.7,50.3
Azerbaijan,30.4,21.6,31.3,29.4
Bahamas,35.0,22.7,35.0,35.0
Bahrain,30.7,25.5,30.8,30.8
Bangladesh,22.6,12.6,22.9,23.0
Barbados,33.1,21.5,33.2,33.2
Belarus,35.2,31.2,33.2,30.2
Belgium,43.0,35.0,49.9,53.7
Belize,30.7,27.1,31.8,32.4
Benin,32.6,12.6,32.6,32.7
Bhutan,33.1,21.3,33.3,33.4
Bolivia,34.4,30.4,34.4,34.5
Bosnia and Herzegovina,35.5,19.5,35.5,35.5
Botswana,33.9,11.0,33.9,33.9
Brazil,32.4,27.4,32.4,32.4
Brunei,32.4,26.8,33.7,34.4
Bulgaria,44.2,33.7,44.3,44.4
Burkina Faso,31.1,12.0,31.2,31.2
Burundi,32.0,12.4,32.0,32.0
Cambodia,36.3,23.3,36.3,36.4
Cameroon,30.2,5.95,30.3,30.3
Canada,55.2,47.2,56.1,56.6
Cape Verde,36.1,14.0,36.2,36.2
Central African Republic,31.8,12.3,31.9,31.9
Chad,33.7,19.8,33.8,33.9
Chile,32.5,28.5,32.2,32.1
China,32.0,22.4,32.0,32.0
Colombia,33.3,29.4,33.3,33.3
Comoros,33.0,12.8,33.1,33.1
"Congo, Dem. Rep.",33.8,9.7,33.9,33.9
"Congo, Rep.",31.3,12.1,31.3,31.2
Costa Rica,35.6,31.5,35.6,35.6
Cote d'Ivoire,33.5,13.0,33.6,33.7
Croatia,36.1,14.0,36.1,36.1
Cuba,37.3,24.2,37.7,38.0
Cyprus,47.3,25.9,47.4,47.5
Czech Republic,48.2,35.7,49.3,49.9
Denmark,57.2,56.2,56.9,57.5
Djibouti,32.6,12.6,32.7,32.8
Dominican Republic,31.7,20.6,31.8,31.8
Ecuador,34.5,30.5,34.5,34.5
Egypt,32.6,24.9,32.6,32.6
El Salvador,29.5,26.1,29.5,29.5
Equatorial Guinea,31.4,12.2,31.5,31.5
Eritrea,30.9,12.0,31.0,31.0
Estonia,36.9,34.9,37.6,46.3
Ethiopia,29.7,11.5,29.7,29.7
Fiji,27.5,6.98,27.6,27.6
Finland,46.4,32.7,43.0,47.5
France,42.6,34.4,47.6,51.7
Gabon,32.4,12.6,32.5,32.5
Gambia,34.4,13.7,34.7,34.8
Georgia,33.0,24.5,34.3,36.3
Germany,40.1,33.0,48.4,53.6
Ghana,29.7,10.0,29.7,29.8
Greece,44.7,24.6,45.3,45.6
Grenada,37.9,24.6,37.9,37.9
Guatemala,25.2,9.47,25.2,25.2
Guinea,34.0,13.2,34.2,34.3
Guinea-Bissau,30.6,11.8,30.5,30.5
Guyana,33.9,29.9,34.6,35.0
Haiti,28.6,18.6,28.6,28.6
Honduras,35.8,31.7,35.9,35.9
Hungary,41.3,30.1,41.8,42.0
Iceland,59.0,51.0,58.5,54.6
India,24.4,8.16,24.7,24.9
