Month and year,Imports,Exports
May20,998.35,582.84
Apr20,1079.62,632.94
Mar20,1231.35,971.57
Feb20,1305.59,848.38
Jan20,1314.3,854.31
Dec19,1400.67,839.09
Nov19,1249.14,790.41
Oct19,1367.0,932.14
Sep19,1355.54,874.84
Aug19,1458.21,940.79
Jul19,1770.33,886.86
Jun19,1465.75,909.68
May19,1548.48,1019.14
Apr19,1584.78,917.2
Mar19,1360.79,902.67
Feb19,1099.88,785.68
Jan19,1389.09,911.44
Dec18,1504.55,878.83
Nov18,1384.15,770.8
Oct18,1449.08,907.35
Sep18,1393.61,855.82
Aug18,1474.5,982.66
Jul18,1476.45,912.1
Jun18,1475.23,937.45
May18,1298.33,954.7
Apr18,1258.32,863.57
Mar18,1404.9,911.18
Feb18,1188.89,750.23
Jan18,1368.86,830.75
Dec17,1166.29,928.65
Nov17,1213.05,1095.21
Oct17,1273.24,762.5
Sep17,1274.53,750.98
Aug17,1353.64,823.46
Jul17,1341.27,935.37
Jun17,1337.43,803.63
May17,1288.81,836.4
Apr17,1245.1,815.5
Mar17,1256.94,829.55
Feb17,1096.12,762.32
Jan17,1134.43,821.33
