Month and year,Imports,Exports
May20,1993.09,1091.28
Apr20,2065.2,1219.09
Mar20,2202.64,1300.25
Feb20,2175.15,1257.81
Jan20,2464.8,1176.54
Dec19,2488.86,1204.08
Nov19,2514.42,1119.34
Oct19,2678.12,1227.16
Sep19,2617.94,1131.1
Aug19,2546.22,1312.91
Jul19,2704.93,1361.7
Jun19,2509.55,1242.5
May19,2658.2,1273.65
Apr19,2524.24,1231.39
Mar19,2230.34,1269.05
Feb19,2236.48,1143.18
Jan19,2305.03,1302.7
Dec18,2429.5,1303.83
Nov18,2468.29,1419.34
Oct18,2784.43,1315.24
Sep18,2496.81,1217.83
Aug18,2720.73,1363.87
Jul18,2563.06,1424.0
Jun18,2483.51,1558.56
May18,2423.89,1361.14
Apr18,2313.19,1338.71
Mar18,2448.83,1391.27
Feb18,2114.68,1557.48
Jan18,2218.51,1217.64
Dec17,2301.05,1318.79
Nov17,2492.45,1390.5
Oct17,2788.94,1367.93
Sep17,2439.72,1243.06
Aug17,2478.75,1250.37
Jul17,2395.91,1211.36
Jun17,2560.77,1323.32
May17,2461.01,1256.28
Apr17,2457.36,1283.92
Mar17,2370.75,1284.97
Feb17,2124.96,1191.2
Jan17,2213.99,1193.02
