id,old_id,title,imgPath,caption,URL,dataPath,chartType,complexity,topic,bboxesPath
1,two_col-1,"Foreign-born population in the United States, 1850-2018",imgs/1.png,"The foreign-born population residing in the U.S. reached a record 44.8 million, or 13.7% of the U.S. population, in 2018. This immigrant population has more than quadrupled since the 1960s, when the 1965 Immigration and Naturalization Act took effect. Though growth has begun to slow in recent years, the number of immigrants living in the United States is projected to almost double by 2065.",https://www.pewresearch.org/hispanic/2020/08/20/facts-on-u-s-immigrants/,data/1.txt,line,simple,Hispanic Trends,bboxes/1.json
2,two_col-2,"English proficiency among U.S. immigrants, 1980-2018",imgs/2.png,"Since 1980, the share of immigrants who are proficient in English (those who speak only English at home or speak English at least “very well”) has declined, though it has increased slightly in recent years. This decline has been driven entirely by those who speak only English at home, which fell from 30% of immigrants ages 5 and older in 1980 to 17% in 2018. The share who speaks English “very well,” meanwhile, has increased slightly, from 27% to 37% over the same time period.",https://www.pewresearch.org/hispanic/2020/08/20/facts-on-u-s-immigrants/,data/2.txt,line,simple,Hispanic Trends,bboxes/2.json
3,two_col-3,"Languages spoken among U.S. immigrants, 2018",imgs/3.png,"Among the nation’s immigrants, Spanish is by far the most spoken non-English language (42% of immigrants say they speak Spanish at home), but it is not the only non-English language spoken by immigrants. Some 6% of immigrants speak Chinese (including Mandarin and Cantonese), 5% speak Hindi or a related language, 4% speak Filipino or Tagalog, 3% speak Vietnamese, 3% speak French and 2% speak Dravidian.",https://www.pewresearch.org/hispanic/2020/08/20/facts-on-u-s-immigrants/,data/3.txt,pie,simple,Hispanic Trends,bboxes/3.json
4,two_col-4,"Hispanic population in the U.S., 2000-2017",imgs/4.png,"There were nearly 60 million Latinos in the United States in 2017, accounting for approximately 18% of the total U.S. population. In 1980, with a population of 14.8 million, Hispanics made up just 6.5% of the total U.S. population. For more, read the accompanying blog post, “Key facts about U.S. Hispanics and their diverse heritage.” For facts on the foreign-born population in the United States, see our profile on U.S. immigrants.",https://www.pewresearch.org/hispanic/fact-sheet/latinos-in-the-u-s-fact-sheet/,data/4.txt,line,simple,Hispanic Trends,bboxes/4.json
5,two_col-10,Weekly broadcast audience for top 20 NPR-affiliated radio stations,imgs/5.png,"The top 20 NPR-affiliated public radio stations (by listenership) had on average a total weekly listenership of about 11 million in 2018, about the same as in 2017. (This includes listeners of NPR programming as well as original or other syndicated content aired on these stations.)",https://www.journalism.org/fact-sheet/public-broadcasting/,data/5.txt,bar,simple,Journalism & Media,bboxes/5.json
6,two_col-11,PBS NewsHour viewership,imgs/6.png,"The audience for public television programming declined over the past year: In 2018, the NewsHour program, which airs on PBS, attracted 1.1 million viewers on average, down 6% from the year before.",https://www.journalism.org/fact-sheet/public-broadcasting/,data/6.txt,bar,simple,Journalism & Media,bboxes/6.json
7,two_col-12,Local public radio station revenue,imgs/7.png,"At the local public radio level, an analysis of the public filings provided by 123 of the largest news-oriented licensees (organizations that operate local public radio stations) shows that in 2017 – the last year for which reliable data is available – total revenue for this group was $904.7 million.",https://www.journalism.org/fact-sheet/public-broadcasting/,data/7.txt,line,simple,Journalism & Media,bboxes/7.json
8,two_col-13,Local public radio station membership,imgs/8.png,"The total number of individual members – defined as anyone who has given money to one of the stations owned by these 123 licensees in each calendar year – in 2017 was 2.3 million, about a 10% increase over the previous year.",https://www.journalism.org/fact-sheet/public-broadcasting/,data/8.txt,line,simple,Journalism & Media,bboxes/8.json
9,two_col-14,Local public radio station expenses,imgs/9.png,"Program and production expenses for the 123 news-oriented local public radio licensees was $446.8 million in 2017, compared with $439.6 million in 2016. While program and production expenses comprise only a portion of overall station expenses, an increase in these kinds of expenditures indicates that the stations are directing more dollars toward the creation of news content.",https://www.journalism.org/fact-sheet/public-broadcasting/,data/9.txt,line,simple,Journalism & Media,bboxes/9.json
10,two_col-15,Revenue for Univision network,imgs/10.png,"Univision’s total revenue remained steady at slightly less than $3 billion in 2018. (Telemundo’s revenue is not available for analysis, as its parent company, Comcast, does not provide network-specific revenue.)",https://www.journalism.org/fact-sheet/hispanic-and-african-american-news-media/,data/10.txt,line,simple,Journalism & Media,bboxes/10.json
11,two_col-16,Revenue for Spanish news radio stations,imgs/11.png,"While audience data is not available for Spanish-language news radio, revenue data is available and shows relative stability. Average station revenue for Spanish-language news stations that are listed in the BIA Advisory Services database have shown an overall decline of 12% since 2011, to about $1.2 million.",https://www.journalism.org/fact-sheet/hispanic-and-african-american-news-media/,data/11.txt,line,simple,Journalism & Media,bboxes/11.json
12,two_col-17,Weekly terrestrial radio listenership,imgs/12.png,"The audience for terrestrial radio remains steady and high: In 2018, 89% of Americans ages 12 or older listened to terrestrial radio in a given week, according to Nielsen Media Research data published by the Radio Advertising Bureau, a figure that has changed little since 2009.",https://www.journalism.org/fact-sheet/audio-and-podcasting/,data/12.txt,line,simple,Journalism & Media,bboxes/12.json
13,two_col-18,Online radio listenership in cars by cellphone owners,imgs/13.png,"Online radio listening in cars, such as listening to AM/FM stations online or streaming other online audio, remained steady after years of increase. In 2019, 41% of Americans ages 12 and older have ever listened to online radio in a car using a phone, up from just 5% in 2010.",https://www.journalism.org/fact-sheet/audio-and-podcasting/,data/13.txt,line,simple,Journalism & Media,bboxes/13.json
14,two_col-21,Unique visitors of newspaper websites,imgs/14.png,"Gauging digital audience for the entire newspaper industry is difficult since many daily newspapers do not receive enough traffic to their websites to be measured by Comscore, the data source relied on here. Thus, the figures offered above reflect the top 50 U.S. daily newspapers based on circulation. In the fourth quarter of 2018, there was an average of 11.6 million monthly unique visitors (across all devices) for these top 50 newspapers. This is nearly the same as in Q4 2017 (11.5 million) and 2016 (11.7 million); following two years of growth from 2014 to 2016, newspapers’ website traffic has leveled off. (The list of top 50 papers is based on Sunday circulation but also includes The Wall Street Journal, which does not report Sunday circulation to AAM. It also includes The Washington Post and The New York Times, which make the top 50 even though they do not fully report their digital circulation to AAM. For more details and the full list of newspapers, see our methodology.)",https://www.journalism.org/fact-sheet/newspapers/,data/14.txt,line,simple,Journalism & Media,bboxes/14.json
15,two_col-22,Visit duration of newspaper websites,imgs/15.png,"Average minutes per visit for the top 50 U.S. daily newspapers, based on circulation, is about 2 1/3 minutes in Q4 2018. This is down 5% from Q4 2017.",https://www.journalism.org/fact-sheet/newspapers/,data/15.txt,line,simple,Journalism & Media,bboxes/15.json
16,two_col-23,Share of newspaper advertising revenue coming from digital advertising,imgs/16.png,"Digital advertising accounted for 35% of newspaper advertising revenue in 2018, based on this analysis of publicly traded newspaper companies. The portion stood at 31% in 2017 – but at 17% in 2011, the first year it was possible to perform this analysis.",https://www.journalism.org/fact-sheet/newspapers/,data/16.txt,line,simple,Journalism & Media,bboxes/16.json
17,two_col-24,Average audience for network TV evening news,imgs/17.png,"The average audience for the evening newscasts for ABC, CBS and NBC remained relatively stable in 2018, with 5.3 million viewers tuning in on average, compared with 5.2 million in 2017, according to Comscore TV Essentials® data. (Average audience is defined as the average number of TVs tuned to a program throughout a time period.)",https://www.journalism.org/fact-sheet/network-news/,data/17.txt,line,simple,Journalism & Media,bboxes/17.json
