Unnamed:_0,index,for,Sp,7,to,same,in,TIN,14:1115,so,Hr,th,SALTO,Ri,I,pr,199320,15016,po,16111
0,Switzerland,935.6671672246885,1193.344072520351,1361.3974073033787,581.6729796745476,966.6528055490252,1362.0221113438784,1141.856060877013,6304.917326858031,1557.816756342694,2774.210897858664,7596.543002289469,1633.5124469498314,5300.754063874638,7816.066863361013,5767.77835373477,7969.772669722789,6749.317157154714,8290.847497662924,7240.751002347965
1,South_Korea,935.6671672246885,1193.344072520351,1361.3974073033787,581.6729796745476,966.6528055490252,1362.0221113438784,1141.856060877013,6304.917326858031,2191.2825491867006,4681.853571598316,7596.543002289469,3453.230808750117,5300.754063874638,7816.066863361013,5767.77835373477,7969.772669722789,6749.317157154714,8290.847497662924,7240.751002347965
2,Spain,935.6671672246885,1193.344072520351,1361.3974073033787,581.6729796745476,966.6528055490252,1362.0221113438784,1141.856060877013,6304.917326858031,732.8147971881644,2774.210897858664,12888.923568175956,2563.73968185238,5300.754063874638,1020.984571717694,5767.77835373477,7969.772669722789,7823.150021642101,8290.847497662924,7240.751002347965
3,Austria,935.6671672246885,1193.344072520351,1361.3974073033787,581.6729796745476,556.4765833743859,684.3565206623643,575.9600373805097,6304.917326858031,1557.816756342694,4681.853571598316,7596.543002289469,3453.230808750117,5300.754063874638,7816.066863361013,5767.77835373477,7969.772669722789,6749.317157154714,8290.847497662924,7240.751002347965
4,US,935.6671672246885,716.2164267278604,1361.3974073033787,581.6729796745476,966.6528055490252,684.3565206623643,1141.856060877013,6304.917326858031,1557.816756342694,4681.853571598316,7596.543002289469,766.9207765595802,5300.754063874638,7816.066863361013,5767.77835373477,7969.772669722789,6749.317157154714,8290.847497662924,7240.751002347965
5,Germany,935.6671672246885,1193.344072520351,1361.3974073033787,581.6729796745476,966.6528055490252,1362.0221113438784,1141.856060877013,6304.917326858031,1557.816756342694,2774.210897858664,7596.543002289469,1633.5124469498314,5300.754063874638,7816.066863361013,5767.77835373477,7969.772669722789,6749.317157154714,8290.847497662924,7240.751002347965
6,Singapore,935.6671672246885,716.2164267278604,751.2173383506779,581.6729796745476,966.6528055490252,1362.0221113438784,1141.856060877013,6304.917326858031,732.8147971881644,774.9974209101638,7596.543002289469,766.9207765595802,777.1242758877452,7816.066863361013,5767.77835373477,7969.772669722789,6749.317157154714,8290.847497662924,7240.751002347965
7,Italy,935.6671672246885,1193.344072520351,1361.3974073033787,581.6729796745476,966.6528055490252,1362.0221113438784,1141.856060877013,6304.917326858031,2191.2825491867006,3611.441478345421,12888.923568175956,2563.73968185238,4316.514567923372,7816.066863361013,5106.979772146753,7969.772669722789,7823.150021642101,8290.847497662924,9642.54967311129
8,UK,537.6957227166076,716.2164267278604,1361.3974073033787,581.6729796745476,556.4765833743859,684.3565206623643,575.9600373805097,6304.917326858031,732.8147971881644,3611.441478345421,12888.923568175956,3453.230808750117,777.1242758877452,1020.984571717694,5767.77835373477,7969.772669722789,7823.150021642101,8290.847497662924,7240.751002347965
9,France,935.6671672246885,1193.344072520351,1361.3974073033787,581.6729796745476,966.6528055490252,1362.0221113438784,1141.856060877013,6304.917326858031,1557.816756342694,2774.210897858664,12888.923568175956,1633.5124469498314,4316.514567923372,1020.984571717694,5767.77835373477,7969.772669722789,7823.150021642101,8290.847497662924,7240.751002347965
10,Japan,935.6671672246885,716.2164267278604,751.2173383506779,581.6729796745476,966.6528055490252,684.3565206623643,575.9600373805097,922.63898830373,732.8147971881644,774.9974209101638,1006.632274563308,766.9207765595802,777.1242758877452,1020.984571717694,899.8762354794071,1162.143841205003,962.9824706138752,8290.847497662924,1008.1391942335212
