Unnamed:_0,index,Unnamed:_2,the
0,Systeme_U_Group,-4810.38048733399,2339.4408127104875
1,Delhaize_Group,-4810.38048733399,2339.4408127104875
2,Lidi_Group,-4810.38048733399,2339.4408127104875
3,Aldi_Group,-4810.38048733399,2339.4408127104875
4,Auchan_Group,-4810.38048733399,2339.4408127104875
5,Carrefour_Group,-1097.5266126507638,2339.4408127104875
6,E._Leclerc_Group,-1097.5266126507638,2339.4408127104875
7,Intermarche_Group,-2455.2825541143898,2339.4408127104875
8,Other,-4810.38048733399,2339.4408127104875
9,Casino_Group,-2455.2825541143898,2339.4408127104875
