Unnamed:_0,index,June_2018,June_2019,June_2020
0,Lenovo,23.29050885971792,34.49064669594665,35.783682961958306
1,Inspur,14.085660801473525,14.556057589546022,13.11974645001198
2,HPE,15.469676336254167,7.948294246011919,7.368008628253598
3,Sugon,10.78986658458625,12.420650663030273,13.812011740605456
4,Others,9.50272882622764,7.8151240924606356,9.147990613892404
5,Cray_Inc,10.794790182970232,7.700538530069821,6.9729557716161565
6,Bull_Atos,6.485734134271368,4.16795172788872,5.19302896952091
7,Fujitsu,0.0,2.6533167455689157,5.131352162367136
8,IBM,3.43328708134851,0.0,0.0
9,Dell_EMC,3.0028922308315487,6.437975843097249,0.0
10,Huawei,2.6448368743795783,0.0,0.0
