Unnamed:_0,index,maseon,Senders,Ressity,SISSISE,SISIS,the,SOSSESS,SLISIS,Ind,SISSIS,SELISE,SIFF,SISS,pastion,From:,In
0,Manchester_United,-634.4644212671706,-583.173368549849,-580.9543121167691,-667.4982062453856,-242.17059906204827,-453.9930884121718,-198.482292955657,-598.3386539388077,-583.6751345749234,-670.1268279832651,-492.0144470903047,-618.4439568667005,-564.6551658399798,-568.3638531582212,-634.0911816596822,-309.37008883851354
1,West_Ham_United,-832.0336497967078,-889.9721664742929,-943.199572965085,-836.9801837775258,-765.2864288165379,-742.5303205188196,-726.7865969268737,-783.3172848620975,-667.1916561814344,-670.1268279832651,-748.7894322723317,-867.7742538154114,-865.5657346075056,-853.2048762395971,-871.1253687162261,-656.9712410008977
2,Southampton_FC,-941.9233208897022,-889.9721664742929,-943.199572965085,-799.5618039452202,-765.2864288165379,-742.5303205188196,-726.7865969268737,-783.3172848620975,-766.492941098991,-670.1268279832651,-781.7526455714192,-867.7742538154114,-816.6305836028298,-910.393447509714,-871.1253687162261,-722.8060214695962
3,Arsenal_FC,-709.5598975393499,-708.3395204869307,-706.1021625574954,-600.5402407617304,-338.85587918239446,-453.9930884121718,-726.7865969268737,-598.3386539388077,-140.4592705051282,-614.9418546209545,-542.4963518324026,-618.4439568667005,-598.9324820364574,-708.1954655269825,-737.8486036443547,-309.37008883851354
4,Chelsea_FC,-634.4644212671706,-616.9056606389579,-580.9543121167691,-487.3226089337645,-205.38188775775475,-417.02080755352665,-198.482292955657,-493.1264016415887,-140.4592705051282,-614.9418546209545,-542.4963518324026,-618.4439568667005,-598.9324820364574,-611.8929917054013,-505.6921813095968,-253.6307326491069
5,Liverpool_FC,-709.5598975393499,-747.4918284512012,-745.3845220640483,-667.4982062453856,102.13902204845044,-673.8728115327156,-198.482292955657,-635.1773477388293,-140.4592705051282,-670.1268279832651,-616.849924263694,-710.6345558594251,-666.8132866090585,-765.0019237368327,-737.8486036443547,-13.027129888631237
6,City_Leicester,-941.9233208897022,-941.7609644333988,-943.199572965085,-888.6164692670043,-526.3936693460334,-742.5303205188196,-726.7865969268737,-873.8614424213433,-667.1916561814344,-670.1268279832651,-748.7894322723317,-938.123126089684,-865.5657346075056,-941.1571537013735,-937.911133756902,-612.6559699966377
7,Manchester_City,-634.4644212671706,-583.173368549849,-580.9543121167691,-531.825608923366,192.8790541453929,-417.02080755352665,-17.060946062578637,-493.1264016415887,39.63015726115336,-614.9418546209545,-781.7526455714192,-560.4864454542618,-564.6551658399798,-523.1445991521692,-538.7432972502695,174.74667332175625
8,FC_Everton,-832.0336497967078,-848.6232630042875,-835.4270522459194,-799.5618039452202,-526.3936693460334,-673.8728115327156,-726.7865969268737,-783.3172848620975,-583.6751345749234,-670.1268279832651,-748.7894322723317,-809.7374359187663,-816.6305836028298,-853.2048762395971,-871.1253687162261,-656.9712410008977
9,Tottenham_Hotspur,-709.5598975393499,-747.4918284512012,-745.3845220640483,-667.4982062453856,-160.14807574323828,-453.9930884121718,-198.482292955657,-704.3550628940627,-140.4592705051282,-670.1268279832651,-616.849924263694,-710.6345558594251,-723.2359679862461,-708.1954655269825,-634.0911816596822,-253.6307326491069
