Unnamed:_0,index,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,45-54_years,1213.7327764273905,1203.2515297982463,1234.8510836060686,1284.8250246480447,1253.9419694977687,1290.1674791074383,1318.1538675959555,1290.7073068631253,1354.8020378007022,1326.4396102051005,1348.2124585375475
1,25-34_years,1140.2818489787696,0.0,0.0,1145.643320097739,1221.9038056384506,1277.043530237961,1265.1219250061458,1309.2737010149258,1382.5700414244193,1386.9352849578954,1438.6458764275385
2,65-74_years,890.6513856151605,966.8615690240948,1067.7418808678667,1000.275066779147,1096.2251562678675,1097.78881643746,1072.175216311436,1695.0014894338528,1134.600161850176,1131.9366026283717,1097.8599755507094
3,35-44_years,1276.3773337121947,1289.0681934958611,1291.6826774671472,1259.4022045584045,1243.2650353071886,1227.0824714492455,1253.450603551968,1281.0578857302426,1252.541484536143,1277.6974579510988,1281.6443349739193
4,15-24_years,1276.7981539853754,2403.498427383596,3416.8925355071715,1275.8767661569218,1243.0012558356611,1206.1567846288472,2921.9306007252344,1207.1861380084374,1171.4102803816295,1196.2030969427578,1150.5741558934224
5,55-64_years,1191.4691755897738,1154.023532564128,1179.4365376036649,1154.4897474440377,1163.5809376022908,1124.066772767358,1123.3521144317065,1172.9267056226008,1122.8766979423235,1173.9210928861985,1195.3669773620777
6,5-14_years,937.9310954037592,1019.95056159263,1018.9874598012356,1029.525142968474,1060.2462497920442,1098.4120721190247,1755.503912033595,1763.725243376437,1797.1000943717063,1174.978051094207,1217.3042277837576
7,75-84_years,522.9759280988692,0.0,558.6695846810635,0.0,552.7412944186235,569.8783718991181,808.2337964564722,0.0,650.829837948615,704.6929925940531,939.605174887016
8,0-4_years,560.5473264539633,568.1380408276636,564.8095119613554,558.5573250455054,558.1205553159052,559.4713515863805,615.7054542724163,619.0327562574621,617.2648203575918,619.8707161600378,616.2575508407317
9,85-94_years,0.0,175.0293347309962,0.0,177.7904310132035,0.0,173.14729887367503,0.0,0.0,0.0,181.75203061117645,0.0
