index,Under_I_8_years,18-44_years,45-64_years,65_years_and_over
2000,20.061602838115174,20.33022769627281,17.375449692946994,23.46098770956301
2009,20.605989834386477,21.749371176323265,18.17531041032611,24.598389278837512
2010,21.863480399474994,21.753791245400137,19.00817849116948,23.439751745361487
2011,18.291545138626155,20.431819752800617,17.975901488903407,23.10781164725013
2012,17.70154771949931,19.170221332027765,17.829950589844724,21.99076530046722
2013,17.370360205635464,18.28558581662276,17.382626510843554,21.060997907624923
2014,16.507801858201404,18.18827067455953,17.345871223291613,20.97223250435906
2015,16.775045615194678,18.4298856658196,17.223180903665536,21.6407999916016
2076,17.334144815478478,18.639522643446718,17.91427138324303,23.09895378519201
2017,16.75952765522152,17.734856389338006,17.70120005829801,21.84279251293197
