index,Year_March_2018_to_end,Year_2018_to_end_June,Year_end_June_2019_to
Intel,19.00117016072348,17.37575385472384,19.829695777246883
SK_Hynix,10.155143159404489,11.136415368557024,10.134143266061828
Micron,6.182000180893809,6.990600460020467,5.776229434764538
TSMC,9.807380013394509,9.751908365307514,9.473199254540615
Broadcom,6.378564094836747,6.418562137302828,6.843030156890691
nVidia,3.841617330733037,3.7385520647223984,0.0
Qualcomm,7.083816653246998,10.379277108759254,9.451437961556309
Sony,3.607321152289941,3.987720097456695,4.529333136106267
Samsung,0.0,0.0,4.8428394385611
Other,33.931142577793395,30.292954038417637,29.089948744909435
