Unnamed:_0,index,2014,2015,2011,2016,2010,2009,12550
0,Guam,1962.3768501328032,2130.881178041329,1811.1815954577887,2003.5740053425943,1674.5930816022085,1358.1275177741463,14441.440633409158
1,New_York,10436.981541033108,10682.74501609601,9828.211655308476,10325.414601021534,8953.469335691452,8350.595558821551,14441.440633409158
2,Massachusetts,1962.3768501328032,2130.881178041329,1811.1815954577887,2003.5740053425943,1674.5930816022085,1358.1275177741463,14441.440633409158
3,Illinois,1962.3768501328032,2130.881178041329,1811.1815954577887,2003.5740053425943,1381.408306635707,8350.595558821551,14441.440633409158
4,Florida,8956.446047524832,9981.642797384762,6024.422695031482,9849.269361141667,6133.617777396221,5641.076842883089,14441.440633409158
5,Texas,1962.3768501328032,2130.881178041329,1377.199936075693,2003.5740053425943,1381.408306635707,8350.595558821551,14441.440633409158
6,Nevada,3461.00675174583,3893.5213958327367,3262.3572716369054,3791.076656914816,2889.181749963889,2284.0714759606744,14441.440633409158
7,Hawaii,3461.00675174583,3406.1418430626545,2678.1327590307865,3483.349772725429,2515.88550134638,2284.0714759606744,14441.440633409158
8,New_Jersey,1354.382543566726,1384.5947662918425,1377.199936075693,1480.4007427267952,1381.408306635707,1358.1275177741463,14441.440633409158
9,California,7615.774548406535,8471.821873856563,6478.346860340327,8551.535802215607,6133.617777396221,5012.726022333143,14441.440633409158
