index,AB,C1,C2,DE
2010,53.63706330697147,51.54433256551891,51.531437659006976,57.49053450504231
2011,56.56670949015436,61.56577621616767,61.55879774254811,58.35195437144851
2012,63.49236367647504,64.42716918969711,64.47644240970205,65.57023952209079
2013,63.50274706178227,67.50476266010664,64.4022590928121,64.3899795317859
2014,69.44370261127554,70.29096953151013,73.241546577437,72.41524698486408
2015,71.62460096554544,77.52990749989915,64.41608385472468,72.45023051525612
2016,71.553590096493,76.36919726358141,73.27707252347942,81.41196263531047
2017,75.46409698391828,78.44556437322845,70.43259927175001,82.3208780569851
2018,77.52877252933659,84.39905473817163,80.69172581390265,72.40942627238061
2019,78.39361553988931,77.56521465643551,69.4373394831417,58.39884825557531
