Unnamed:_0,index,18-29,30-49,50-64,65_and_older
0,White_Catholic,7.943976573019562,10.841260718657452,15.092446551384654,15.943157823508985
1,Unaffiliated,38.44959549473468,26.05242448125621,18.22260754105288,12.049987754718911
2,ic,7.591707320975416,14.37341333339009,21.030604249028144,26.2479086329562
3,White_Mai_r_Christian,8.592341639012332,11.51973075500139,15.510936463467417,19.09118217198628
4,Hispanic_Catholic,9.02865821442591,10.290263434636593,5.719195778963183,3.553692860461694
5,Black_Protestant,6.939643350775668,8.129464876445951,9.274987620780408,7.229985313735696
6,Hispanic_Protestant,0.0,4.874253036018729,9.310714338398512,7.123106063803007
7,Oth_ant,7.084362977873283,5.753051027190836,6.048889972791784,7.864853782830437
8,Don't_know/refused,0.0,3.0562709746766785,4.317101920296395,4.580909382938373
9,Mormon,2.1051975695557275,0.0,0.0,0.0
10,Other_world_religions,6.716285313801748,3.451921621100553,0.0,0.0
