Unnamed:_0,index,20,2002,eois,2015,2012,corsis,conf,ecos,200,cors,2001,1993,2019,2004,earo,zoos,ecco,1997
0,South_Holland,198.2700111048832,128.17946682462673,214.3889063000828,452.28827836451785,226.6415185137752,234.8128624026481,230.57661201188628,128.32060441738489,198.2731474958334,452.28827836451785,452.28827836451785,82.11947479391102,226.9494392394347,131.3172834070583,234.8081419758645,194.68993171775932,90.73681981204304,82.24451858260159
1,North_Brabant,226.851118135254,155.60612853959736,256.98939575131493,452.28827836451785,265.56283129614445,234.8128624026481,269.2693959445673,156.11564950577687,166.16027417125818,452.28827836451785,452.28827836451785,94.7606509975426,265.2688184051024,169.8100194543361,277.6304281244929,227.89716787857287,97.93733981932648,90.954054486239
2,Zeeland,198.2700111048832,110.37157758167942,197.75466088683672,452.28827836451785,198.40436902427436,198.7692675188621,206.70874024243827,111.2401677905797,198.2731474958334,452.28827836451785,452.28827836451785,82.11947479391102,207.6513049247595,111.5174374228624,207.5963705620563,166.07708060928672,81.97073382915238,82.24451858260159
3,Limburg,190.5148251101677,140.8767812581949,197.75466088683672,452.28827836451785,206.4960042300093,198.7692675188621,206.70874024243827,141.50190515949777,198.2731474958334,452.28827836451785,452.28827836451785,94.7606509975426,207.6513049247595,140.97733585290072,215.16874298123625,194.68993171775932,90.73681981204304,90.954054486239
4,North_Holland,226.851118135254,155.60612853959736,177.19226005243002,452.28827836451785,265.56283129614445,294.29263177019885,269.2693959445673,156.11564950577687,198.2731474958334,452.28827836451785,452.28827836451785,82.11947479391102,325.77155811387905,140.97733585290072,268.9857109671592,227.89716787857287,97.93733981932648,82.24451858260159
5,Friesland,177.9203146021888,110.37157758167942,177.19226005243002,452.28827836451785,198.40436902427436,173.69214279417744,206.70874024243827,98.1343305155712,166.16027417125818,452.28827836451785,452.28827836451785,68.82396506820817,194.36023049939027,169.8100194543361,207.5963705620563,194.68993171775932,69.75930654712897,66.84943272112724
6,Flevoland,165.69627839493134,128.17946682462673,214.3889063000828,452.28827836451785,206.4960042300093,211.57117583851132,214.7391999842864,128.32060441738489,198.2731474958334,452.28827836451785,452.28827836451785,82.11947479391102,207.6513049247595,124.77458180067968,207.5963705620563,166.07708060928672,107.56900634303388,82.24451858260159
7,Gelderland,226.851118135254,128.17946682462673,243.9593229102192,452.28827836451785,253.3955827735153,234.8128624026481,260.6335652282592,111.2401677905797,198.2731474958334,452.28827836451785,452.28827836451785,82.11947479391102,252.65354118734732,124.77458180067968,268.9857109671592,166.07708060928672,107.56900634303388,82.24451858260159
8,Overijssel,198.2700111048832,140.8767812581949,214.3889063000828,452.28827836451785,226.6415185137752,211.57117583851132,230.57661201188628,141.50190515949777,198.2731474958334,452.28827836451785,452.28827836451785,82.11947479391102,226.9494392394347,131.3172834070583,207.5963705620563,194.68993171775932,107.56900634303388,82.24451858260159
9,Groningen,165.69627839493134,110.37157758167942,177.19226005243002,452.28827836451785,183.12450592932333,173.69214279417744,186.85098190817237,98.1343305155712,166.16027417125818,452.28827836451785,452.28827836451785,82.11947479391102,174.8499145848278,99.10147943402715,188.43432076583065,166.07708060928672,97.93733981932648,82.24451858260159
10,Drenthe,177.9203146021888,140.8767812581949,197.75466088683672,452.28827836451785,226.6415185137752,294.29263177019885,214.7391999842864,169.95407167302776,166.16027417125818,452.28827836451785,452.28827836451785,68.82396506820817,252.65354118734732,169.8100194543361,234.8081419758645,166.07708060928672,69.75930654712897,82.24451858260159
11,Utrecht,226.851118135254,169.24496219183672,273.07543804332926,452.28827836451785,282.54592892098566,294.29263177019885,286.8435131792177,169.95407167302776,198.2731474958334,452.28827836451785,452.28827836451785,108.36602981298005,304.55149728215093,169.8100194543361,294.6694738949707,239.7308818161161,107.56900634303388,107.5876979658683
