index,Ipsos_(11_/20/2020),Sentio_(I_/03/2020),Opinion_(11/11/2020),Norfakta_/07/2020),TNS_Kantar_(I_1/08/2020),Norstat_(11_/25)2020),Respons_Analyse_/02/2020)
Arbeiderpartiet,21.574445960140352,21.67303178082767,19.994291208218076,23.40653147234268,25.67059301085399,21.407386982499236,22.10166015869794
Sosialistist_Venstreparti,7.468304480754668,10.339907608137535,8.289925761448515,7.025460726180967,7.419432047992657,7.574547845092823,5.616561641609167
Rodt,0.0,3.4882981897631566,4.056929430115417,4.320859973687803,5.09988364091538,4.7206775511062204,4.371123216912267
Fremskrittspartiet,12.123775662272417,13.619810639538317,24.72989571347363,10.920401167957351,9.613912632844633,11.653220817845067,13.660257348452198
Hoyre,19.995924601900725,24.938881157671812,24.819886002058723,24.699871996920805,24.57474757194412,25.19500052155392,21.166469500416028
Senterpartiet,18.52612904295259,16.298390298611857,17.496056001144993,17.672122902362673,14.809826884527965,20.05519576870175,19.074326690057084
Kristelig_Folkeparti,3.7981416508111607,0.0,3.843059977083968,4.372894074419676,4.2563328371158775,0.0,0.0
Venstre,4.0866135301599655,2.893856094782109,0.0,0.0,0.0,2.3364321992028607,3.922198709618996
Other,3.922732392703424,0.0,0.0,0.0,0.0,0.0,0.0
Miljopartiet_De_Gronne,4.995807353344304,3.820095432238816,4.79215065388307,3.362518790091926,4.933131935353188,3.4564065824148145,7.897911277613048
