index,Under_20,20_24_to,25_29_to,30_34_to,35_to_39,40_to_54
1996,14.930970760211174,16.944269058375113,21.044888505436735,23.989254631681654,27.122629399584376,32.036309665050794
2000,16.002869260422848,19.12187977837715,23.038348464230005,25.925167851510388,31.082636539831068,36.087584533364165
2007,23.007472206844007,27.162677000231906,31.10027028690436,36.12864917794806,42.25191475347117,48.09948963090055
2011,22.002291788858397,28.155165308152725,32.07340185567145,36.28390093483538,42.26290181928969,49.33675050124936
2013,21.990619714035667,28.1294939226764,31.083982627393915,36.10835316880604,42.21467898017714,50.208207589436114
2014,21.13189960549913,25.9007887100944,29.202885084429976,34.223579311142686,39.13422938393985,48.14706335667724
2015,20.14787370139007,25.930181279855567,30.160611428866712,35.17568499217811,41.07747429402755,48.20492418273977
2016,20.144792656524,26.076653554527432,30.151655459615245,34.282238815825835,40.205948405809806,48.16736534843066
2017,20.1190434970996,25.876493325237867,30.28190887480765,34.42400277533343,40.31508918540539,48.35075930929854
2018,19.896933066618544,25.57481416326412,30.123779481841545,34.03415786929894,40.30184667509268,48.13518488176154
