Unnamed:_0,index,this,Ingis,tap,Mis,MIS,take,Imps,Inig,Inis,Sp,the,Lines,swoo,was,Janos,ANIO,Lines:,State
0,Edge,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,281.8701451416673,7018.868980265359,7018.868980265359,285.78200883978934,7018.868980265359,285.9934437710472,7018.868980265359,284.32799685006376,284.0613221619924,283.4460655602261
1,Firefox,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,281.8701451416673,7018.868980265359,7018.868980265359,285.78200883978934,7018.868980265359,285.9934437710472,7018.868980265359,284.32799685006376,284.0613221619924,283.4460655602261
2,Chrome,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,285.78200883978934,7018.868980265359,7018.868980265359,7018.868980265359,281.8701451416673,7018.868980265359,7018.868980265359,286.7680702459229,7018.868980265359,285.9934437710472,7018.868980265359,7018.868980265359,284.32799685006376,283.4460655602261
3,Nokia,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,281.8701451416673,7018.868980265359,7018.868980265359,285.78200883978934,7018.868980265359,285.9934437710472,7018.868980265359,284.32799685006376,284.0613221619924,283.4460655602261
4,Android,281.2796511895085,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,281.8701451416673,7018.868980265359,7018.868980265359,285.78200883978934,7018.868980265359,285.9934437710472,7018.868980265359,7018.868980265359,7018.868980265359,283.4460655602261
5,Safari,281.2796511895085,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,281.8701451416673,7018.868980265359,7018.868980265359,285.78200883978934,7018.868980265359,285.9934437710472,7018.868980265359,7018.868980265359,284.0613221619924,283.4460655602261
6,Samsung_internet,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,281.8701451416673,7018.868980265359,7018.868980265359,285.78200883978934,7018.868980265359,285.9934437710472,7018.868980265359,284.32799685006376,284.0613221619924,283.4460655602261
7,Opera,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,281.8701451416673,7018.868980265359,7018.868980265359,285.78200883978934,7018.868980265359,285.9934437710472,7018.868980265359,284.32799685006376,284.0613221619924,283.4460655602261
8,UC_Browser,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,7018.868980265359,281.8701451416673,7018.868980265359,7018.868980265359,285.78200883978934,7018.868980265359,285.9934437710472,7018.868980265359,284.32799685006376,284.0613221619924,283.4460655602261
9,IE_Mobile,281.2796511895085,7018.868980265359,7018.868980265359,7018.868980265359,285.78200883978934,7018.868980265359,7018.868980265359,7018.868980265359,281.8701451416673,7018.868980265359,7018.868980265359,286.7680702459229,7018.868980265359,285.9934437710472,7018.868980265359,7018.868980265359,7018.868980265359,283.4460655602261
