Unnamed:_0,index,2011,2012,2013
0,65_E5_99,20.025930354830493,24.087187229968805,26.511365047088773
1,E6_66_999,19.4109400630729,20.04897424334837,17.684905584459756
2,17_17.99_-,10.83081161102848,10.667504841854026,13.170174179166509
3,E4.99_{4-,13.330309883564894,16.444479501304983,13.809772424273504
4,f8_f8_99,6.811796753516632,3.5491513813575324,5.028805780685474
5,E3_L3_g9,10.536767422700848,3.960997252643452,9.275272466227236
6,Free,6.727858607557849,2.130428040995909,1.988288282541504
7,E15+,0.0,0.0,2.578087930130096
8,Unclear,2.4585811098260564,3.396308512585392,0.0
9,f9_f9_99,4.943757455375703,2.789371621313279,5.039668364280146
10,Elo,0.0,3.768396469212576,2.6977726244737994
11,f2_99,0.0,6.100122720820195,0.0
12,Ell_E12.99,0.0,2.4439954385735803,3.264460914081184
