index,2016,2017,2018,2019,2020
Jan,1.6699226948814765,2.073476639724017,1.8907168990579049,1.6684207479227222,1.777052433665581
Feb,2.974289331335843,1.9672853320305796,3.684571935686723,4.360362339560146,2.675843097750743
Mar,4.058498433671639,3.754611357222254,2.788617139489437,4.183242329711762,5.195309970590301
Apr,5.666897311920721,5.972997302610707,4.286148557070755,5.863328884834672,7.771444479199034
May,6.569544573447921,6.2668331076888535,7.76896180888365,6.569061069974896,9.629418591645823
Jun,4.367236547330275,6.337854967132336,8.258068435630229,5.561482124459394,6.281684551246766
Jul,6.27480291375424,5.8683513771762,8.73593332087045,6.7580223427755,5.559230347055478
Aug,6.880683630475555,5.862932251962004,5.479088789126133,6.671611813692967,5.074428387163291
Sep,4.357965396810901,3.756123591488944,5.265976917909968,5.377064984181263,0.0
Oct,3.572346550371318,2.681796019943432,4.359062709657477,2.5615671090532945,0.0
Nov,2.6836511644746786,2.557001830397841,2.4950768087559165,1.6694437635453117,0.0
Dec,1.593768040294698,1.7770238578102011,1.376894443476358,1.8931252721493017,0.0
