Unnamed:_0,index,Unnamed:_2,the
0,Euro_area,99.88096324070024,281.1719205012993
1,Germany,111.06470750132348,281.1719205012993
2,Russia,183.88946519807237,281.1719205012993
3,United_Kingdom,99.88096324070024,281.1719205012993
4,Brazil,215.80538980981407,281.1719205012993
5,Japan,116.01571667263116,281.1719205012993
6,France,99.88096324070024,281.1719205012993
7,India,162.86204171724802,281.1719205012993
8,United_States,134.10294974142104,281.1719205012993
9,China,99.88096324070024,281.1719205012993
