index,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
G6500,0.0,11.915756560501848,18.873633663954703,20.759217123352528,23.69088575821388,23.591946465104684,22.644241603693278,22.95047386714066,19.18769163420177,15.971473239318923
G600,0.0,16.586820921350466,15.019590744954314,16.89002292990932,26.628762002604248,26.058897563851588,23.79041345033059,26.48263310909448,20.47763877831892,15.575539547179917
G650ER,28.1946094413328,29.37411409174433,28.694366138343185,30.9243101168737,27.11945735489934,27.43628080048154,28.14246257929412,29.35897752727672,23.43396133159402,19.63249186391272
G6000,42.79102362010138,4.991182840872796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G650,40.22460366913853,38.40200832349237,40.34937367867647,37.47222021185894,33.15647530165745,31.44769103403476,19.10478621404661,20.46781251489384,15.980122704729013,15.310053915001047
G750,0.0,0.0,7.562604183399259,26.49069417549705,16.986123197807387,22.253044523564483,26.44184234790032,27.40165351889084,20.797830808218976,15.332766116690124
G7500,0.0,30.622196646478727,37.721524871331866,44.42206566885963,45.26906604013939,45.20890224162369,43.60171977261911,44.84383007742744,33.23439404022412,28.49360439698808
G7500XR,0.0,0.0,0.0,0.0,15.217439911222357,16.44092738744368,21.998179493470843,23.62777996466073,15.117559179701177,13.814667257419272
G550,11.608112139436455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8X,22.591168013217786,22.95507808937427,23.57798669865201,25.216001275649063,19.03066264907824,21.96642065704165,21.781825178417307,16.343841551208072,14.168574550448454,12.330180691451233
F9X,0.0,0.0,0.0,0.0,0.0,10.39717227204983,23.444081794522845,27.43245620693287,20.734916244343253,16.246755714972466
F7X,0.0,8.004609517824662,7.179394619797165,4.938123960372508,0.0,0.0,0.0,0.0,0.0,0.0
