index,Toronto,Vancouver,Calgary,Edmonton,Montreal
Winter_2017/2018,5479.048264447801,2267.593891929861,1237.276115094497,1186.6109812205032,796.1840490005397
Summer_2016,5280.601285975234,2217.4613266015767,1218.1569889725924,1152.251419768263,795.0731906031288
Spring_2020,5734.3653507009385,0.0,0.0,0.0,0.0
Summer_2020,5729.485024631826,2346.8416155750483,1316.038684881668,1236.7748741102996,822.8742847182148
Fall_2076,5366.305450709946,0.0,1234.3304776214843,1179.3683876751877,794.7878557861104
Spring_2018,5479.093139062939,2265.268032160282,1234.88590682019,1182.1954884289644,791.0878167642459
Wir_018,5355.977515701088,2227.313421351787,1230.4831143914262,1173.7302732938151,790.2436659851164
Fall_2020,5728.157413376383,2342.154335020118,1332.562703543157,1232.2357644544154,820.7338502451539
2018_Summer,5476.157661880147,2268.7309977436757,1239.0990404981758,1178.3430450537962,794.1494508839405
Spring_2017,5371.156565944676,2235.914953714057,1237.6689796496803,1186.0064439523994,795.1620931425559
Fall_2018,5591.158600119447,2311.6167360723857,1289.2510797160494,1236.7613270566735,820.182654500707
Summer_2017,5371.961345599203,2240.160261644407,1237.760422261662,1188.5338161446798,796.7420182718006
Winter_2018/2019,0.0,0.0,0.0,1233.474473170431,817.3326930939347
Fall_2017,5478.907713766422,2260.2835631164107,1234.483728665639,1185.976809772591,792.9479965653982
