Unnamed:_0,index,--25_201,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Game_&_Network_Services,0.0,7.514795820705743,7.624550076840961,9.457430275082883,11.4507916078053,13.644505343645008,14.592133667201068,17.16401815773952,20.593293716132152,17.774761689052028
1,Mobile_nation,0.0,6.0421428627108895,13.160189245613076,16.289845645355896,10.9223529418558,10.004786861940609,6.795474538831471,6.774268567206761,4.303318149915391,0.0
2,Financial_Services,0.0,8.356040612683685,11.068499474686654,9.496731335496946,9.526483212636856,9.559829566927576,9.7735999078428,11.038531062778633,11.469565172201442,12.579046017102783
3,Imaging_All_fother,0.0,6.885495259765214,7.881778945718196,6.957767347538592,5.5311641168975925,5.951934478311443,4.863558555476352,5.520994200621487,5.931262625781443,9.613645674631393
4,Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,7.232470572203226,7.683678504189373,7.955595648170849,0.0
5,Pictures,0.0,6.536563916588492,7.943231512911112,8.344816893869378,7.598277191642225,8.854438688469116,8.558976997367239,8.951402957633974,9.457783948537475,9.524108548013118
6,Hom_tions,0.0,11.623737927104004,10.283387712431434,11.358035330967624,10.199725895854854,10.282001889915463,9.198476345886284,11.30685372960928,10.280493364364212,0.0
7,Music,0.0,3.956176827488477,4.499217154634991,4.495175172296712,4.372876335261651,5.428440022900716,5.490931956980603,7.338709747269277,6.788263931053024,7.868721899200466
8,Devices,0.0,8.952904265359606,8.492544130507525,7.063270304393029,7.351918368124693,7.747491300354795,0.0,0.0,0.0,0.0
9,Electronics_Products_&_Solutions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.955878586934517
10,and_elimination_Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6703211961265083,0.0,0.0
11,All_fother,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1968471382909343,0.0
