Unnamed:_0,index,Unnamed:_2,CONTERSING
0,DTS,-57315.2175590925,32424.03495802427
1,Atresmedia,-54342.97583294692,32424.03495802427
2,Mediaset_Espana,-54342.97583294692,32424.03495802427
3,Yoigo,-57315.2175590925,32424.03495802427
4,Euskaltel,-54342.97583294692,32424.03495802427
5,Resto,-42091.672640049794,32424.03495802427
6,Vodafone,-37731.84399400824,32424.03495802427
7,lazztel,-57315.2175590925,32424.03495802427
8,Movistar,4033.1674823904887,32424.03495802427
9,Orange,-35759.9405734321,32424.03495802427
