Unnamed:_0,index,2018,2019,2020
0,Greater_China,1270.016132590407,1231.8394736904984,1273.2431816112369
1,Emerging_Asia/Pacific,1079.0786822830073,1058.3312737313272,1157.716100919879
2,Western_Europe,425.8726717316508,411.50927723499535,425.7474762464394
3,North_America,535.7946263103249,506.7779444632192,500.0279008598295
4,Latin_America,399.7692537834069,375.50713330213193,347.6038311517477
5,Sub_-Saharan_Africa,256.6478776099982,280.9020340018833,275.10863681602063
6,Eastern_Europe,298.11880244518784,155.5351615873917,436.33875944441456
7,Eurasia,120.89774401239856,153.75184269118267,181.53695775501865
8,Middle_East_North_Africa_and,0.0,219.77350660714137,222.593431378353
9,Japan,0.0,0.0,92.71092027973054
