Unnamed:_0,index,IQ_'15,2Q_'15,3Q_'15,4Q_'15,1Q_'16,2Q_'16,3Q_'16,4Q_'16,10'17,20_'77,30'17,4Q_117,IQ_'18
0,Samsung,22.10130760998942,18.934095556732277,20.868323447888528,18.121418764776134,20.8725895321448,19.729965447782234,18.0977836772874,16.534901258231287,20.024239449425053,20.055462772990325,18.947188022208408,14.927592720368535,16.84366523571005
1,Xiaomi,2.878724234858481,6.281484207489342,4.085364100790656,4.077199698162275,4.046822236130581,0.0,0.0,0.0,0.0,5.062187065710631,6.199944381539439,5.807660771767743,6.322998846379718
2,Others,45.63539432808162,35.33999680166269,39.31770969872803,45.52215921234844,45.59579820122028,48.28280608066565,49.22475258090435,43.9662704745228,43.49590403811232,42.66316561717521,41.54905564769793,44.68047795099483,42.82750180251254
3,Apple,16.89483372905964,9.79631470388685,9.844737211968068,19.65126354857179,11.84774958232522,8.222166389912616,15.849140472899109,13.859318638920527,10.71077683371594,8.761446023583474,8.572083369828988,13.863155662978611,10.676537829900552
4,Huawei,0.0,7.110140427112256,6.451165257009819,0.0,7.207806787082603,7.61574496465677,0.0,8.68967038185805,12.781360055856284,8.308419748611186,8.410928359389658,7.124900097929924,8.405926743365072
5,vivo,0.0,0.0,0.0,0.0,0.0,0.0,4.416463726300776,4.146805521171146,5.243250469345895,4.725767093742974,6.075688548144257,4.007863570135129,0.0
6,OPPO,0.0,0.0,2.714627097345854,0.0,0.0,4.663749506810618,4.931335964126163,0.0,0.0,5.997857028192996,5.766507769330133,4.90765184118618,5.132221948917689
7,itel_mobile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1743099348214656,3.7721746738391744,3.871336615071769,3.905587877749952,0.0,4.77361343527231
8,Nokia_Jhmd,0.0,5.895017428118777,6.14745193100687,4.813773469822692,4.147369428860202,0.0,0.0,0.0,0.0,0.0,0.0,3.973857484713051,0.0
9,ZTE,2.4070399706964167,5.772048775318154,0.0,0.0,0.0,3.8471743964823872,3.4716609110284224,2.9970590375186674,0.0,0.0,0.0,0.0,0.0
10,TCL_Alcatel,2.9278332392567847,3.800523294076584,0.0,3.774454822320962,3.830306201262204,0.0,3.205165492502573,0.0,0.0,0.0,0.0,0.0,0.0
11,HMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.549374316836563
12,LG,3.9793126786614295,6.003422551906624,5.667554228765212,3.02071864273303,5.506325665149035,0.0,0.0,0.0,3.1230188528438134,0.0,0.0,0.0,0.0
