Unnamed:_0,index,2013,1H'14,2H_'14,1H'15,2H_'15,1H_'16,2H_'66,1H_'77,2H_'77,1H_'18,2H_'18,1H_'19,IH_'20
0,Marshmallow_6.0,0.0,0.0,0.0,0.0,0.0,7.419538011288807,18.25716079050456,30.28461938083548,31.89726789097339,25.374220233681072,20.87174753377238,16.878715450232164,10.911744806783643
1,KitKat_4.4,0.0,13.578749854014047,23.88220789434472,39.19521327180541,38.475365914136674,35.03831735590253,27.28923944054158,18.796647184614255,14.736425608150128,9.763691180607765,0.0,0.0,4.950376284172933
2,Oreo_8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.338831801751383,12.73010405705736,12.357372448553974,7.24475040286368
3,Lollipop_5.1,0.0,0.0,0.0,0.0,8.021302154378631,18.94387005726101,21.61675049951645,23.264205511393804,21.31210012075843,16.98075459345143,14.836393620687376,11.21456856334295,7.835511664205271
4,Jelly_Bean_4.1.x,48.23702192119232,28.604989929127065,24.189432803603303,18.195019678618053,0.0,7.410742897316226,4.9228834626543545,0.0,0.0,0.0,0.0,0.0,0.0
5,Oreo_8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.897084365782391,15.113644666464538,14.014931413932151
6,Jelly_Bean_4.2.x,0.0,18.77531741515987,20.72568967213426,19.32529609977327,14.16398810020361,9.452956855471328,7.944871679071397,5.277873823266972,3.443456118781654,0.0,1.900780183421631,1.8907984841624736,0.0
7,Ice_Cream_Sandwich_4.0_3_4.0.4,19.921860841880104,12.160636608040235,9.226369405717818,5.906282199609834,2.7336623746318622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Jelly_Bean_4.3,0.0,10.000972280792396,8.266659225937914,6.355796663293411,4.368791282380833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Nougat_7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7067094853757965,14.051571729296311,22.56783096812127,18.755965287849776,11.312688379403523,7.7117616059547345
10,Lollipop_5.0,0.0,0.0,0.0,0.0,14.961474092744083,15.970503071889516,13.10546772746912,8.471924097663013,6.918518554742008,5.278175863158083,0.0,3.031257964504277,0.0
11,Nougat_7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.939161686843889,10.526435394242595,7.486720312786758,5.15401589362672
12,Gingerbread_2.3.3_2.3.7,28.2528186074983,14.523235784995933,11.25889651307891,7.331363937357509,6.462747550456484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Pie_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.559084468188304,31.006911823337163
14,Froyo_2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.021028880191423
