Unnamed:_0,index,Unnamed:_2,State,I,Apr,Ind,and,Stiple,May,CONTING
0,Airbus_Group_SE,4.425538475906578,4.535982124483695,3.634136784566621,4.4671215293170405,4.473200636394267,4.4955168423745135,4.519862685717641,4.490731996804058,4.48740809793442
1,Rolls_Royce_Holdings_PLC,8.384164759489806,8.622250046665727,8.279721777898601,8.44584808630077,8.435415554155341,8.53288717263058,8.35513212069037,9.751101010859912,9.365352251776017
2,Lockheed_Martin_Corporation,8.384164759489806,8.622250046665727,3.634136784566621,4.4671215293170405,8.435415554155341,4.4955168423745135,4.519862685717641,4.490731996804058,6.6808773965439485
3,Leonardo_SpA,8.384164759489806,8.622250046665727,8.279721777898601,8.44584808630077,12.545225308744492,8.53288717263058,11.021448094782102,9.751101010859912,12.18132211509294
4,General_Dynamics_Corporation,4.425538475906578,8.622250046665727,8.279721777898601,8.44584808630077,4.473200636394267,8.53288717263058,8.35513212069037,9.751101010859912,6.6808773965439485
5,QinetiQ_Group_PLC,62.71837568219899,38.18006486750426,64.30933193187036,30.509182822159275,64.42879128844346,60.84715788875062,71.07166200949051,36.37972750157401,43.81330375815057
6,Babcock_International_Group_PLC,52.8100145445088,49.394600600826585,39.982142622960666,51.281074992036494,41.24551834376689,44.21545139882583,40.13839038236235,46.82270198415437,60.02751286203013
7,Ferrovial_SA,16.513607578685523,8.622250046665727,3.634136784566621,8.44584808630077,8.435415554155341,14.835411239950318,8.35513212069037,9.751101010859912,9.365352251776017
8,The_Boeing_Company,4.425538475906578,4.535982124483695,3.634136784566621,4.4671215293170405,4.473200636394267,4.4955168423745135,4.519862685717641,4.490731996804058,4.48740809793442
9,BAE_Systems_PLC,22.96771712247918,22.13169282419014,23.351857859691023,18.49552395100779,22.088168378519526,22.930458079102664,25.540797243026887,22.909789115040116,23.574059028374847
