Unnamed:_0,index,2015,2016,2017
0,Samsung,12786.541740176952,11237.995271911932,12258.212651501482
1,TSMC,8142.940708338509,10538.7161999105,10228.235292280036
2,Others,15402.211595608678,14836.02031500281,15353.59718157842
3,SK_Hynix,5864.641101877256,4955.26903789577,5641.868805318205
4,Intel,7589.15148235012,9390.073514194024,12125.616881164417
5,Micron_kik,6007.256920119995,5742.14347802657,4832.416065502839
6,SMIC,0.0,2541.101330565514,2471.6521676651537
7,UMCx,2162.3075943840886,2764.205546092606,1927.0200002655329
8,Toshiba,0.0,3525.662803129875,1884.6671399440677
9,GlobalFoundriest,3950.921289907397,0.0,2208.4091865798546
10,SanDisk/WD,3387.8266180268693,1916.6758432499048,2884.266494225005
