Unnamed:_0,index,Average,DM_Register/_Bloomberg_(1/26_1/29),PPP_(D)_(1/26_1/27),(I_/26_Gravis_1/27),NBC_WSJ_Marist_(I_J24_1/26),(I_J23_Monmouth_1/26)
0,Donald_Trump,30.31013891358729,27.87295791223626,30.80121521271168,30.81087231877008,31.60202230644957,29.6641532546096
1,Ted_Cruz,23.75593869891817,22.495722993752693,22.88194129226881,26.81681634814703,24.804738517733867,22.54199357399457
2,Marco_Rubio,15.382399784993837,15.38243642044928,14.241681608437176,13.34611324561486,18.2648114765107,16.516655467207926
3,Ben_Carson,8.33805381176893,9.714206079272811,9.071378396555502,6.405892563889125,7.61063486240198,9.676112532688904
4,Jeb_Bush,3.641732795495528,0.0,3.8491627442916174,5.735683541763436,4.203837915659477,4.026822721983578
5,Mike_Huckabee,3.5575225375826705,4.37715292833424,4.005486232725559,0.0,0.0,5.716823609294295
6,Chris_Christie,0.0,3.4956232720429483,0.0,5.46548973067884,3.7198542407114985,0.0
7,John_Kasich,0.0,0.0,0.0,5.972942078392407,0.0,5.855254341283143
8,Carly_Fiorina,0.0,0.0,3.9137950148084286,0.0,0.0,0.0
9,Rand_Paul,3.6316214097894735,5.196175170525223,3.79823213411565,0.0,0.0,0.0
