Unnamed:_0,index,33,53,Feb,Apr,Dee,oct,Aug
0,Online_and_other_non_store,4.921409543780847,4.514783694371431,9.646002399932335,4.822532588805146,4.821659685662063,4.86801543678672,4.813169554038836
1,Electronics_and_appliance_stores,4.921409543780847,4.514783694371431,9.646002399932335,4.822532588805146,4.821659685662063,4.86801543678672,4.813169554038836
2,Building_materials_and_qarden_supply_stores,4.921409543780847,4.514783694371431,-179.88699763447843,4.822532588805146,4.821659685662063,4.86801543678672,4.813169554038836
3,General_merchandise_stores,4.921409543780847,4.514783694371431,-179.88699763447843,4.822532588805146,4.821659685662063,4.86801543678672,4.813169554038836
4,Clothing_and_clothing_accessory_stores,4.921409543780847,4.514783694371431,9.646002399932335,4.822532588805146,4.821659685662063,4.86801543678672,4.813169554038836
5,Grocery_and_beverage_stores,4.921409543780847,4.514783694371431,9.646002399932335,4.822532588805146,4.821659685662063,4.86801543678672,4.813169554038836
6,Total_retail_sales,4.921409543780847,4.514783694371431,-179.88699763447843,4.822532588805146,4.821659685662063,4.86801543678672,4.813169554038836
7,Health_and_personal_care_stores,4.921409543780847,4.514783694371431,9.646002399932335,4.822532588805146,4.821659685662063,4.86801543678672,4.813169554038836
8,Sporting_goods_stores,4.921409543780847,4.514783694371431,-179.88699763447843,4.822532588805146,4.821659685662063,4.86801543678672,4.813169554038836
9,Furniture_and_home_furnishing_stores,4.921409543780847,4.514783694371431,-179.88699763447843,4.822532588805146,4.821659685662063,4.86801543678672,4.813169554038836
