index,United_States_and_Canada,Europe,Asia_Pacific,Latin_America_and_other,Americas
2020,0.0,1256.2481064582134,1020.9605191304707,0.0,5763.490002564518
2010,5445.981225988649,1245.4675160483948,573.704786408487,0.0,0.0
2011,6365.3083608572015,1488.3912903124783,571.7372084953458,262.75460287641727,0.0
2012,6934.56245191528,1641.445284433621,777.8506854892603,429.8235195798042,0.0
2013,7851.916582138857,1355.306118841705,977.5745733736004,435.0285306549868,0.0
2014,9580.3120649893,1552.0391022386975,1297.1982248695022,474.4405582153431,0.0
2015,10797.372190387116,1959.347886691079,1346.541171684119,488.6896055138077,0.0
2016,12114.680332934648,1798.2483750039155,1307.547777722306,435.8782018105449,0.0
2017,10929.782121368393,1828.9125108495864,1292.357580074529,333.17497613013256,0.0
2018,11391.17836675218,1907.7536214132012,1853.5033585268063,487.3546294829066,11863.863764843274
2019,9990.450502468851,2398.638727577132,2159.371020073637,229.24841004509835,10238.333534380828
