Unnamed:_0,index,2011,2012,2013,2014,2015,2016,2017
0,Barcelona_Spain,2.664999272133663,2.445605295447137,2.595412575168993,2.376316375201224,2.583052514959938,2.6743955234388395,2.733211078154696
1,Southamp_ns)_Greece,1.410495035765484,1.5686167998063991,1.6181093842064698,1.5654366375052913,1.6614638133530877,1.7227104358119298,1.914625204670605
2,Marseille_France,0.8456067843307338,0.9136499277571596,1.2350812846110912,1.28542067155513,1.4677088774277165,1.6139405101438626,1.5300791417237465
3,Venice_Italy,1.848260544858114,1.824477955827964,1.9391661937813411,1.8334461530999224,1.705632475715058,1.6847625152152563,1.4517801493547982
4,Civitavecchia_Italy,2.6310899482851404,2.3332085423998272,2.555773375864998,2.0978951431628463,2.1770525699788355,2.349802615328718,2.270505605675812
5,Palma_Majorca_Spain,1.425834026352426,0.9771589553643754,1.2106589409117348,1.4195737361166696,1.7602931146520042,1.678573179588268,1.6543881267116711
6,Itilaly_Genoa,0.785999097015365,0.8232909782785267,1.0985936971021033,0.8243808875967904,0.8549402233592929,1.0646413352121975,0.9252376296019378
7,Italy_Savona,0.995752552432112,0.8167003419953982,0.9577453091297484,1.0248613898809769,0.9992188595488988,0.9173744631222434,0.8719879405081681
8,Hamburg_Kingdom,0.0,0.0,0.5527236071973789,0.6325021776376545,0.538908395913456,0.8289219825578442,0.7610137692071071
9,Copenha_herlands,0.7695585652070811,1.3228567884164375,0.7456363933400141,0.7634564688531658,0.6455624784119145,0.636005706844287,0.9095694561579322
10,Kiel_Germany,0.5471402937206733,0.0,0.5454676260582776,0.0,0.5947996901958916,0.0,0.5189806195628464
11,Piraeus_(Athens)_Greece,1.5186170644321937,1.3488971298337322,1.2775493627432812,1.0504422711267498,0.9597599547425926,1.1006455648047933,1.0682379196434386
