Unnamed:_0,index,the,SS,and,lanis,Anco,Nevis,Meys,DES,Subject:,Angle,NOTIC,Sobject,Spy,Subject,Apy,Applate,Appless,SES
0,Symbols_and_Independent,11.84151094044476,53.82538659141022,27.706094603854957,3.2041479856635107,28.23974886351168,11.227073265315408,28.280933833519686,3.2896392402703043,11.67678399403674,53.82538659141022,11.835798589846975,3.2799174662340818,3.2597625688419107,53.82538659141022,11.41707682421761,53.82538659141022,11.706147631713332,12.211990288572864
1,Sainsbury's,11.84151094044476,53.82538659141022,27.706094603854957,3.2041479856635107,28.23974886351168,11.227073265315408,28.280933833519686,6.203179472786687,12.014847369225436,53.82538659141022,11.41707682421761,53.82538659141022,28.80326470536881,29.264846345313533,28.86813114091162,53.82538659141022,11.706147631713332,12.211990288572864
2,Ocado,11.84151094044476,53.82538659141022,27.706094603854957,3.2041479856635107,28.23974886351168,11.227073265315408,28.280933833519686,3.2896392402703043,11.67678399403674,53.82538659141022,11.835798589846975,3.2799174662340818,28.80326470536881,53.82538659141022,11.41707682421761,53.82538659141022,11.706147631713332,12.211990288572864
3,Other_Multiples,11.84151094044476,53.82538659141022,27.706094603854957,3.2041479856635107,28.23974886351168,11.227073265315408,28.280933833519686,11.355008362665718,11.67678399403674,53.82538659141022,11.41707682421761,3.2799174662340818,3.2597625688419107,29.264846345313533,28.86813114091162,53.82538659141022,11.706147631713332,12.211990288572864
4,Waitrose,11.84151094044476,53.82538659141022,27.706094603854957,3.2041479856635107,28.23974886351168,11.227073265315408,28.280933833519686,6.203179472786687,11.67678399403674,53.82538659141022,11.835798589846975,3.2799174662340818,28.80326470536881,53.82538659141022,11.41707682421761,53.82538659141022,11.706147631713332,12.211990288572864
5,Asda,11.84151094044476,53.82538659141022,27.706094603854957,3.2041479856635107,28.23974886351168,11.227073265315408,28.280933833519686,11.355008362665718,12.014847369225436,53.82538659141022,11.41707682421761,53.82538659141022,28.80326470536881,29.264846345313533,28.86813114091162,53.82538659141022,11.706147631713332,12.211990288572864
6,The_Cooperative,11.84151094044476,53.82538659141022,27.706094603854957,3.2041479856635107,28.23974886351168,11.227073265315408,28.280933833519686,3.2896392402703043,11.67678399403674,53.82538659141022,11.835798589846975,3.2799174662340818,28.80326470536881,53.82538659141022,11.41707682421761,53.82538659141022,11.706147631713332,12.211990288572864
7,Lidl,11.84151094044476,53.82538659141022,27.706094603854957,3.2041479856635107,28.23974886351168,11.227073265315408,28.280933833519686,3.2896392402703043,11.67678399403674,53.82538659141022,11.835798589846975,3.2799174662340818,28.80326470536881,53.82538659141022,11.41707682421761,53.82538659141022,11.706147631713332,12.211990288572864
8,Aldi,11.84151094044476,53.82538659141022,27.706094603854957,3.2041479856635107,28.23974886351168,11.227073265315408,28.280933833519686,6.203179472786687,11.67678399403674,53.82538659141022,11.835798589846975,3.2799174662340818,28.80326470536881,53.82538659141022,11.41707682421761,53.82538659141022,11.706147631713332,12.211990288572864
9,Morrisons,11.84151094044476,53.82538659141022,27.706094603854957,12.278206132219148,28.23974886351168,11.227073265315408,28.280933833519686,11.355008362665718,12.014847369225436,53.82538659141022,11.41707682421761,53.82538659141022,3.2597625688419107,11.835798589846975,11.67678399403674,53.82538659141022,11.706147631713332,12.211990288572864
10,Iceland,28.799785560514163,53.82538659141022,27.706094603854957,3.2041479856635107,28.23974886351168,28.15943536971088,28.280933833519686,28.038456406465865,11.67678399403674,53.82538659141022,11.41707682421761,3.2799174662340818,3.2597625688419107,29.264846345313533,28.86813114091162,53.82538659141022,28.197151972884228,12.211990288572864
11,Tesco,28.799785560514163,53.82538659141022,27.706094603854957,30.03300876403918,28.23974886351168,28.15943536971088,28.280933833519686,28.038456406465865,29.368112710497424,53.82538659141022,11.41707682421761,53.82538659141022,28.80326470536881,29.264846345313533,28.86813114091162,53.82538659141022,28.197151972884228,12.211990288572864
